dateTime;;Time;Value;confidence;;hora gtm
08-18-2021;;20:57:20;62;1};;
08-18-2021;;20:57:25;65;1};;
08-18-2021;;20:57:35;66;2};;
08-18-2021;;20:57:45;62;3};;
08-18-2021;;20:57:50;60;3};;
08-18-2021;;20:57:55;61;2};;
08-18-2021;;20:58:00;61;1};;
08-18-2021;;20:58:15;61;1};;
08-18-2021;;20:58:20;62;1};;
08-18-2021;;20:58:25;66;1};;
08-18-2021;;20:58:30;69;1};;
08-18-2021;;20:58:35;70;1};;
08-18-2021;;20:58:40;68;1};;
08-18-2021;;20:58:45;67;1};;
08-18-2021;;20:59:00;66;1};;
08-18-2021;;20:59:05;64;1};;
08-18-2021;;20:59:10;62;2};;
08-18-2021;;20:59:15;60;2};;
08-18-2021;;20:59:20;60;1};;
08-18-2021;;20:59:25;59;2};;
08-18-2021;;20:59:35;60;1};;
08-18-2021;;20:59:40;59;2};;
08-18-2021;;20:59:45;59;1};;
08-18-2021;;21:00:00;59;1};;
08-18-2021;;21:00:05;59;2};;
08-18-2021;;21:00:10;59;1};;
08-18-2021;;21:00:25;59;1};;
08-18-2021;;21:00:40;61;1};;
08-18-2021;;21:00:45;65;1};;
08-18-2021;;21:00:50;62;1};;
08-18-2021;;21:00:55;65;1};;
08-18-2021;;21:01:00;64;1};;
